1,21,10
1,21.0476,10
1,21.0951,10
1,21.1425,10
1,21.1898,10
1,21.237,10
1,21.2841,10
1,21.3311,10
1,21.378,10
1,21.4248,10
1,21.4714,10
1,21.518,10
1,21.5645,10
1,21.6108,10
1,21.6571,10
1,21.7033,10
1,21.7494,10
0,1,10.8747
0,1,0.5
1,2,0.5
1,2.5,0.5
1,2.9,0.5
0,1,1.45
1,2,1.45
1,2.5,1.45
1,2.9,1.45
1,3.24483,1.45
1,3.55301,1.45
0,1,1.77651
1,2,1.77651
1,2.5,1.77651
1,2.9,1.77651
1,3.24483,1.77651
1,3.55301,1.77651
1,3.83446,1.77651
1,4.09525,1.77651
1,4.33944,1.77651
1,4.56988,1.77651
1,4.78871,1.77651
1,4.99753,1.77651
1,5.19763,1.77651
0,1,2.59882
0,1,0.5
1,2,0.5
1,2.5,0.5
1,2.9,0.5
1,3.24483,0.5
1,3.55301,0.5
1,3.83446,0.5
1,4.09525,0.5
1,4.33944,0.5
0,1,2.16972
0,2,2.16972
1,3,2.16972
1,3.33333,2.16972
1,3.63333,2.16972
1,3.90856,2.16972
1,4.16441,2.16972
1,4.40454,2.16972
1,4.63158,2.16972
1,4.84749,2.16972
1,5.05378,2.16972
1,5.25165,2.16972
1,5.44207,2.16972
1,5.62582,2.16972
1,5.80357,2.16972
1,5.97588,2.16972
0,1,2.98794
0,2,2.98794
1,3,2.98794
1,3.33333,2.98794
1,3.63333,2.98794
1,3.90856,2.98794
1,4.16441,2.98794
1,4.40454,2.98794
1,4.63158,2.98794
1,4.84749,2.98794
1,5.05378,2.98794
1,5.25165,2.98794
1,5.44207,2.98794
1,5.62582,2.98794
1,5.80357,2.98794
1,5.97588,2.98794
1,6.14322,2.98794
0,1,3.07161
0,2,3.07161
0,3,3.07161
1,4,3.07161
1,4.25,3.07161
1,4.48529,3.07161
1,4.70824,3.07161
1,4.92064,3.07161
0,1,2.46032
0,1,0.5
1,2,0.5
1,2.5,0.5
1,2.9,0.5
1,3.24483,0.5
0,1,1.62241
0,1,0.5
1,2,0.5
1,2.5,0.5
1,2.9,0.5
1,3.24483,0.5
1,3.55301,0.5
1,3.83446,0.5
1,4.09525,0.5
1,4.33944,0.5
1,4.56988,0.5
1,4.78871,0.5
1,4.99753,0.5
1,5.19763,0.5
1,5.39003,0.5
1,5.57555,0.5
1,5.75491,0.5
1,5.92867,0.5
1,6.09735,0.5
1,6.26135,0.5
1,6.42106,0.5
1,6.5768,0.5
0,1,3.2884
0,2,3.2884
0,3,3.2884
1,4,3.2884
1,4.25,3.2884
1,4.48529,3.2884
0,1,2.24265
0,2,2.24265
1,3,2.24265
1,3.33333,2.24265
1,3.63333,2.24265
1,3.90856,2.24265
1,4.16441,2.24265
1,4.40454,2.24265
1,4.63158,2.24265
1,4.84749,2.24265
1,5.05378,2.24265
1,5.25165,2.24265
1,5.44207,2.24265
1,5.62582,2.24265
1,5.80357,2.24265
1,5.97588,2.24265
1,6.14322,2.24265
1,6.306,2.24265
1,6.46458,2.24265
1,6.61927,2.24265
1,6.77034,2.24265
0,1,3.38517
0,2,3.38517
0,3,3.38517
1,4,3.38517
1,4.25,3.38517
1,4.48529,3.38517
1,4.70824,3.38517
1,4.92064,3.38517
1,5.12386,3.38517
1,5.31903,3.38517
1,5.50703,3.38517
1,5.68862,3.38517
1,5.86441,3.38517
1,6.03493,3.38517
1,6.20063,3.38517
1,6.36191,3.38517
0,1,3.18095
0,2,3.18095
0,3,3.18095
1,4,3.18095
1,4.25,3.18095
1,4.48529,3.18095
0,1,2.24265
0,2,2.24265
1,3,2.24265
1,3.33333,2.24265
1,3.63333,2.24265
1,3.90856,2.24265
1,4.16441,2.24265
1,4.40454,2.24265
1,4.63158,2.24265
1,4.84749,2.24265
1,5.05378,2.24265
1,5.25165,2.24265
1,5.44207,2.24265
1,5.62582,2.24265
1,5.80357,2.24265
0,1,2.90179
0,1,0.5
1,2,0.5
1,2.5,0.5
1,2.9,0.5
1,3.24483,0.5
1,3.55301,0.5
1,3.83446,0.5
1,4.09525,0.5
1,4.33944,0.5
1,4.56988,0.5
1,4.78871,0.5
1,4.99753,0.5
1,5.19763,0.5
1,5.39003,0.5
1,5.57555,0.5
0,1,2.78778
0,2,2.78778
1,3,2.78778
1,3.33333,2.78778
1,3.63333,2.78778
1,3.90856,2.78778
1,4.16441,2.78778
1,4.40454,2.78778
1,4.63158,2.78778
0,1,2.31579
0,1,0.5
0,1,0.5
1,2,0.5
1,2.5,0.5
1,2.9,0.5
1,3.24483,0.5
0,1,1.62241
1,2,1.62241
1,2.5,1.62241
1,2.9,1.62241
1,3.24483,1.62241
1,3.55301,1.62241
1,3.83446,1.62241
1,4.09525,1.62241
1,4.33944,1.62241
1,4.56988,1.62241
0,1,2.28494
0,2,2.28494
1,3,2.28494
1,3.33333,2.28494
1,3.63333,2.28494
1,3.90856,2.28494
1,4.16441,2.28494
1,4.40454,2.28494
1,4.63158,2.28494
0,1,2.31579
0,2,2.31579
1,3,2.31579
1,3.33333,2.31579
1,3.63333,2.31579
